Tipos
Grass / Poison
Fire
Fire / Flying
Water
Bug
Bug / Flying
Bug / Poison
Normal / Flying
Normal
Dark / Normal
Poison
Electric
Electric / Psychic
Ground
Ice / Steel
Poison / Ground
Fairy
Ice
Normal / Fairy
Poison / Flying
Bug / Grass
Ground / Steel
Dark
Steel
Fighting
Water / Fighting
Psychic
Water / Poison
Rock / Ground
Rock / Electric
Psychic / Fairy
Water / Psychic
Electric / Steel
Water / Ice
Poison / Dark
Ghost / Poison
Grass / Psychic
Grass / Dragon
Fire / Ghost
Poison / Fairy
Ground / Rock
Grass
Ice / Psychic
Water / Flying
Dragon
Dragon / Flying
Psychic / Flying
Water / Electric
Fairy / Flying
Water / Fairy
Rock
Grass / Flying
Water / Ground
Dark / Flying
Ghost
Normal / Psychic
Bug / Steel
Ground / Flying
Steel / Ground
Bug / Rock
Bug / Fighting
Dark / Ice
Fire / Rock
Ice / Ground
Water / Rock
Ice / Flying
Steel / Flying
Dark / Fire
Water / Dragon
Rock / Dark
Fire / Fighting
Water / Grass
Grass / Dark
Bug / Water
Grass / Fighting
Bug / Ground
Bug / Ghost
Dark / Ghost
Steel / Fairy
Steel / Rock
Fighting / Psychic
Water / Dark
Fire / Ground
Ground / Dragon
Rock / Psychic
Ground / Psychic
Ice / Water
Steel / Psychic
Grass / Ground
Water / Steel
Normal / Water
Ghost / Flying
Ghost / Dark
Dragon / Ground
Fighting / Steel
Poison / Bug
Poison / Fighting
Grass / Ice
Psychic / Fighting
Rock / Steel
Ice / Ghost
Electric / Ghost
Grass / Fairy
Ground / Dark
Dark / Fighting
Ground / Ghost
Normal / Grass
Electric / Flying
Water / Ghost
Bug / Electric
Grass / Steel
Ghost / Fire
Ground / Electric
Dark / Steel
Dark / Dragon
Bug / Fire
Fire / Normal
Fighting / Dark
Steel / Ghost
Dark / Psychic
Rock / Water
Poison / Water
Poison / Dragon
Electric / Normal
Fighting / Flying
Electric / Fairy
Rock / Fairy
Ghost / Grass
Flying / Dragon
Grass / Ghost
Fire / Dark
Fighting / Ice
Bug / Fairy
Water / Bug
Poison / Fire
Normal / Fighting
Ghost / Ground
Rock / Flying
Fire / Dragon
Ghost / Fairy
Normal / Dragon
Dragon / Fighting
Rock / Fire
Electric / Poison
Ice / Bug
Electric / Dark
Steel / Dragon
Dragon / Ghost
